,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,title_artist_id,isrc_track_id,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4261,Stay With Me,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",Calvin Harris,7/15/2022,GBARL2201570,"4,242",20.5,"142,927,322","32,810","11,080,526",56.0,"11,242,174","91,853",650,"220,765","4,614,852","164,246",42.0,"122,408",57,44.0,"699,913",34.0,"694,551",946,,"1,773,915",,0,5lfWrciYtohtIMVDVZd0Rf,,5lfWrciYtohtIMVDVZd0Rf,0.81,0.733,9.0,-6.338,1.0,0.0444,0.276,6.73e-06,0.288,0.9,125.975,audio_features,5lfWrciYtohtIMVDVZd0Rf,spotify:track:5lfWrciYtohtIMVDVZd0Rf,https://api.spotify.com/v1/tracks/5lfWrciYtohtIMVDVZd0Rf,https://api.spotify.com/v1/audio-analysis/5lfWrciYtohtIMVDVZd0Rf,229283.0,4.0
4262,Famous Friends,Famous Friends,Chris Young,11/20/2020,USRN11900062,"4,235",20.5,"177,734,775","25,580","8,683,788",60.0,"37,838,695","220,814","22,259","7,070,216","62,353,303","93,781,468",36.0,"313,376",180,5.0,"90,079",23.0,"94,945,469","14,994",,"651,327",,0,00KyYtT6NaXwbPecina5Pj,,00KyYtT6NaXwbPecina5Pj,0.535,0.859,6.0,-2.922,1.0,0.0344,0.0528,0.0,0.32,0.698,102.008,audio_features,00KyYtT6NaXwbPecina5Pj,spotify:track:00KyYtT6NaXwbPecina5Pj,https://api.spotify.com/v1/tracks/00KyYtT6NaXwbPecina5Pj,https://api.spotify.com/v1/audio-analysis/00KyYtT6NaXwbPecina5Pj,166507.0,4.0
4263,To the Bone,Flying Solo,Pamungkas,6/14/2019,FR2X41995983,"4,221",20.5,"442,614,126","39,861","12,416,351",72.0,"461,577,619","2,914,234","912,650","149,476,116","1,424,731,067","45,212,529",10.0,"3,292",,,,,,,,"403,782",,0,3pCt2wRdBDa2kCisIdHWgF,,3pCt2wRdBDa2kCisIdHWgF,0.668,0.727,7.0,-6.55,0.0,0.027,0.514,1.9e-05,0.1,0.939,139.991,audio_features,3pCt2wRdBDa2kCisIdHWgF,spotify:track:3pCt2wRdBDa2kCisIdHWgF,https://api.spotify.com/v1/tracks/3pCt2wRdBDa2kCisIdHWgF,https://api.spotify.com/v1/audio-analysis/3pCt2wRdBDa2kCisIdHWgF,344571.0,4.0
4264,Turn Me On (feat. Vula),Turn Me On (feat. Vula),Riton,9/13/2019,GBCEN1900052,"4,230",20.5,"399,276,193","102,234","31,645,383",64.0,"60,323,387","518,058","34,167","3,411,947","36,313,288","44,798,495",114.0,"130,822",25,76.0,"736,094",15.0,"3,432,852","1,375",,"5,471,296",,0,0qaWEvPkts34WF68r8Dzx9,,0qaWEvPkts34WF68r8Dzx9,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000588,0.0862,0.517,124.051,audio_features,0qaWEvPkts34WF68r8Dzx9,spotify:track:0qaWEvPkts34WF68r8Dzx9,https://api.spotify.com/v1/tracks/0qaWEvPkts34WF68r8Dzx9,https://api.spotify.com/v1/audio-analysis/0qaWEvPkts34WF68r8Dzx9,208474.0,4.0
4265,Alkool,Alkool,Melinda Ademi,4/15/2024,GX7852400218,"4,227",20.5,"1,761,843",311,"304,790",,"26,145,236","114,630",,,,,1.0,,,,,,,,,"20,972",,0,7JhPd7TZCJv9OsONJ1twj3,,7JhPd7TZCJv9OsONJ1twj3,0.747,0.691,2.0,-7.109,0.0,0.0732,0.0595,3.37e-06,0.114,0.501,87.992,audio_features,7JhPd7TZCJv9OsONJ1twj3,spotify:track:7JhPd7TZCJv9OsONJ1twj3,https://api.spotify.com/v1/tracks/7JhPd7TZCJv9OsONJ1twj3,https://api.spotify.com/v1/audio-analysis/7JhPd7TZCJv9OsONJ1twj3,220000.0,4.0
4266,Come Through (feat. Chris Brown),Come Through (feat. Chris Brown),H.E.R.,4/23/2021,USRC12100712,"4,238",20.5,"172,986,367","40,246","8,921,857",56.0,"103,030,772","1,128,489","21,608","2,875,398","26,458,622","22,239,303",72.0,"101,246",156,25.0,"89,707",36.0,"93,062,258","18,391",,"1,353,202",,1,29he0Joo5sz2607A6ZBT6H,,29he0Joo5sz2607A6ZBT6H,0.612,0.423,5.0,-8.062,0.0,0.0508,0.588,0.0,0.117,0.18,135.841,audio_features,29he0Joo5sz2607A6ZBT6H,spotify:track:29he0Joo5sz2607A6ZBT6H,https://api.spotify.com/v1/tracks/29he0Joo5sz2607A6ZBT6H,https://api.spotify.com/v1/audio-analysis/29he0Joo5sz2607A6ZBT6H,214093.0,5.0
4267,Mi Niï¿½,Mi Niï¿½,Wisin,9/23/2020,QMBZ92014731,"4,234",20.5,"400,985,699","62,355","13,993,469",60.0,"251,851,094","1,816,301",,,,"12,732,039",58.0,"24,906",46,18.0,"148,048",16.0,"12,216,631","2,063",,"985,993",,0,43TNU6hMcMrvwoqUzXKGNl,,43TNU6hMcMrvwoqUzXKGNl,0.107,0.0955,7.0,-20.281,1.0,0.0446,0.953,0.0369,0.156,0.0331,74.579,audio_features,43TNU6hMcMrvwoqUzXKGNl,spotify:track:43TNU6hMcMrvwoqUzXKGNl,https://api.spotify.com/v1/tracks/43TNU6hMcMrvwoqUzXKGNl,https://api.spotify.com/v1/audio-analysis/43TNU6hMcMrvwoqUzXKGNl,371360.0,4.0
4268,Pretty Girls,Pretty Girls,Frenna,3/14/2024,NLG662400072,"4,252",20.5,"28,452,972","6,696","5,408,775",69.0,"3,402,827","17,861",,,,"2,606,582",7.0,"3,986",,9.0,"464,315",,227,,,"49,939",,0,5cXQQa5G0hyc6m5Mk1rM2i,,5cXQQa5G0hyc6m5Mk1rM2i,0.691,0.689,1.0,-4.167,1.0,0.114,0.0471,0.0,0.169,0.621,93.785,audio_features,5cXQQa5G0hyc6m5Mk1rM2i,spotify:track:5cXQQa5G0hyc6m5Mk1rM2i,https://api.spotify.com/v1/tracks/5cXQQa5G0hyc6m5Mk1rM2i,https://api.spotify.com/v1/audio-analysis/5cXQQa5G0hyc6m5Mk1rM2i,198324.0,4.0
4269,In This Darkness,In This Darkness - Single,Clara La San,1/29/2023,QZFZ62368273,"4,241",20.5,"138,987,928","27,997","4,821,947",5.0,"56,123,070","521,760","82,593","21,715,531","125,057,113",101,1.0,33,,1.0,245,,"392,407","3,890",,"952,142",,0,0bmVH05tjN9jVh3kB1TfpR,,0bmVH05tjN9jVh3kB1TfpR,0.647,0.228,2.0,-19.288,1.0,0.0668,0.841,0.00149,0.108,0.189,119.828,audio_features,0bmVH05tjN9jVh3kB1TfpR,spotify:track:0bmVH05tjN9jVh3kB1TfpR,https://api.spotify.com/v1/tracks/0bmVH05tjN9jVh3kB1TfpR,https://api.spotify.com/v1/audio-analysis/0bmVH05tjN9jVh3kB1TfpR,197000.0,4.0
4270,Gangsta's Paradise (feat. L.V.),Get Ur Freak On - R&B Anthems,Coolio,11/16/2012,USRH11200639,"4,254",20.5,"1,666,699,743",183,"49,151",,"1,537,876,575","12,732,846",,,,"411,493,809",,,,,,,,,,,,0,0w4XZ4XSkxEDGa6B8ClYFR,,0w4XZ4XSkxEDGa6B8ClYFR,0.74,0.278,8.0,-13.721,1.0,0.307,0.182,0.0,0.145,0.29,81.024,audio_features,0w4XZ4XSkxEDGa6B8ClYFR,spotify:track:0w4XZ4XSkxEDGa6B8ClYFR,https://api.spotify.com/v1/tracks/0w4XZ4XSkxEDGa6B8ClYFR,https://api.spotify.com/v1/audio-analysis/0w4XZ4XSkxEDGa6B8ClYFR,237973.0,4.0
