,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,title_artist_id,isrc_track_id,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92.0,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",,0,5AJ9hqTS2wcFQCELCFRO7A,,5AJ9hqTS2wcFQCELCFRO7A,0.852,0.697,1.0,-5.52,0.0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,audio_features,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152.0,4.0
1,Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92.0,"116,347,040","3,486,739","674,700","35,223,547","208,339,025","156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",,1,6AI3ezQ4o3HUoP6Dhudph3,,6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,1.0,-7.001,1.0,0.0776,0.0107,0.0,0.141,0.214,101.061,audio_features,6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,274192.0,4.0
2,i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92.0,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",,0,2GxrNKugF82CnoRFbQfzPf,,2GxrNKugF82CnoRFbQfzPf,0.599,0.946,11.0,-4.263,1.0,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515.0,4.0
3,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",,0,7DSAEUvxU8FajXtRloy8M0,,7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600.0,4.0
4,Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88.0,"77,373,957","3,670,188","16,400",,,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",,1,2HYFX63wP3otVIvopRS99Z,,2HYFX63wP3otVIvopRS99Z,0.936,0.887,9.0,-2.76,0.0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,audio_features,2HYFX63wP3otVIvopRS99Z,spotify:track:2HYFX63wP3otVIvopRS99Z,https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z,https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z,227239.0,4.0
5,Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,"670,665,438","105,892","175,421,034",83.0,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",,1,4xhsWYTOGcal8zt0J161CU,,4xhsWYTOGcal8zt0J161CU,0.943,0.558,2.0,-4.911,1.0,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411.0,4.0
6,Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86.0,"308,723,145","4,120,760",,"29,584,940","534,915,313","4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,"65,447,476","57,372",,"9,990,302",,0,3xkHsmpQCBMytMJNiDf3Ii,,3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,10.0,-5.692,1.0,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,3xkHsmpQCBMytMJNiDf3Ii,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,180304.0,3.0
7,Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92.0,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",,"6,063,523",,1,6XjDF6nds4DE2BBbagZol6,,6XjDF6nds4DE2BBbagZol6,0.791,0.499,8.0,-8.472,0.0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000.0,4.0
8,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1,7B37eXepS3J9F86nFaVTtQ,,7B37eXepS3J9F86nFaVTtQ,0.739,0.937,0.0,-4.271,1.0,0.128,0.0768,0.0,0.191,0.91,130.025,audio_features,7B37eXepS3J9F86nFaVTtQ,spotify:track:7B37eXepS3J9F86nFaVTtQ,https://api.spotify.com/v1/tracks/7B37eXepS3J9F86nFaVTtQ,https://api.spotify.com/v1/audio-analysis/7B37eXepS3J9F86nFaVTtQ,198000.0,4.0
9,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"90,676,573","10,400","184,199,419",86.0,"32,735,244","988,682","325,800","121,574,500","974,656,200","174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",,1,,7iabz12vAuVQYyekFIWJxD,7iabz12vAuVQYyekFIWJxD,0.882,0.764,11.0,-5.241,1.0,0.204,0.359,0.0,0.119,0.886,140.113,audio_features,7iabz12vAuVQYyekFIWJxD,spotify:track:7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/audio-analysis/7iabz12vAuVQYyekFIWJxD,140733.0,4.0
10,I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,"250,080,413","16,219","168,766,158",91.0,"32,229,063","550,191",,"184,500","2,100,000","327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,"23,155,471","21,172","1,594,605","963,413",,1,5IZXB5IKAD2qlvTPJYDCFB,,5IZXB5IKAD2qlvTPJYDCFB,0.644,0.874,0.0,-4.723,1.0,0.0265,0.0113,0.0,0.227,0.753,128.017,audio_features,5IZXB5IKAD2qlvTPJYDCFB,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,https://api.spotify.com/v1/tracks/5IZXB5IKAD2qlvTPJYDCFB,https://api.spotify.com/v1/audio-analysis/5IZXB5IKAD2qlvTPJYDCFB,178206.0,4.0
11,The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,"111,155,129",2,"263,767",,,,,,,,,,,,,2.0,,,,,,1,3dj4wgM3cPeuLwMNHDuBon,,3dj4wgM3cPeuLwMNHDuBon,0.731,0.861,8.0,-5.483,0.0,0.0532,0.0193,0.0,0.123,0.759,127.922,audio_features,3dj4wgM3cPeuLwMNHDuBon,spotify:track:3dj4wgM3cPeuLwMNHDuBon,https://api.spotify.com/v1/tracks/3dj4wgM3cPeuLwMNHDuBon,https://api.spotify.com/v1/audio-analysis/3dj4wgM3cPeuLwMNHDuBon,212649.0,4.0
12,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,"221,636,195","13,800","197,280,692",92.0,"40,022,524","1,307,290","195,300","45,889,000","360,017,000","342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,"1,354,692","1,219","1,313,357","450,344",,0,629DixmZGHc7ILtEntuiWE,,629DixmZGHc7ILtEntuiWE,0.893,0.4,11.0,-7.981,0.0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,audio_features,629DixmZGHc7ILtEntuiWE,spotify:track:629DixmZGHc7ILtEntuiWE,https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE,https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE,179587.0,4.0
13,Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,"355,186,436","43,025","108,168,634",88.0,"98,081,493","1,456,177",,,,"174,491,415",153.0,"90,237",3,55.0,"3,001,826",109.0,"26,252,264","18,364","12,038,034","1,963,314",,1,2tudvzsrR56uom6smgOcSf,,2tudvzsrR56uom6smgOcSf,0.814,0.676,11.0,-4.67,0.0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707.0,4.0
14,bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,"297,185",277,"24,445",12.0,"6,736,502,312","16,785,489",3,"1,088","22,234",,1.0,"1,057",,,,,,,,"3,288",,0,5JvEHdLTVmD6I9a3EMoOjL,,5JvEHdLTVmD6I9a3EMoOjL,0.737,0.583,0.0,-9.703,0.0,0.0358,0.0603,0.0359,0.164,0.382,122.958,audio_features,5JvEHdLTVmD6I9a3EMoOjL,spotify:track:5JvEHdLTVmD6I9a3EMoOjL,https://api.spotify.com/v1/tracks/5JvEHdLTVmD6I9a3EMoOjL,https://api.spotify.com/v1/audio-analysis/5JvEHdLTVmD6I9a3EMoOjL,210444.0,4.0
15,LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052","2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,"12,171,026","13,242","871,978","2,765,808",,1,7ABLbnD53cQK00mhcaOUVG,,7ABLbnD53cQK00mhcaOUVG,0.708,0.737,1.0,-4.045,1.0,0.0436,0.0739,0.00162,0.0955,0.607,91.986,audio_features,7ABLbnD53cQK00mhcaOUVG,spotify:track:7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/audio-analysis/7ABLbnD53cQK00mhcaOUVG,197920.0,4.0
16,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,"395,433,400","12,784","177,932,568",89.0,"104,673,836","2,484,083","139,300","25,348,800","207,317,000","268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,"9,961,769","13,437","377,734","1,210,029",,0,2OzhQlSqBEmt7hmkYxfT6m,,2OzhQlSqBEmt7hmkYxfT6m,0.504,0.386,11.0,-10.976,1.0,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,228965.0,4.0
17,greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,"1,258,569,694","105,218","198,845,580",87.0,"141,646,818","1,514,837","2,294,429","419,319,161","5,456,156,211","2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,"44,850,379","12,270",,"6,973,652",,1,3rUGC1vUpkDG9CZFHMur1t,,3rUGC1vUpkDG9CZFHMur1t,0.749,0.729,6.0,-3.19,0.0,0.0321,0.261,0.0,0.113,0.816,111.004,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872.0,1.0
18,BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,"91,272,461","6,499","52,287,548",86.0,"16,038,053","569,377","941,900","119,740,900","1,225,345,800","5,839,168",76.0,181,1,24.0,"5,054,005",33.0,"283,089",162,"975,891","257,661",,0,2prqm9sPLj10B4Wg0wE5x9,,2prqm9sPLj10B4Wg0wE5x9,0.349,0.337,7.0,-10.671,1.0,0.0407,0.29,0.172,0.139,0.0365,142.01,audio_features,2prqm9sPLj10B4Wg0wE5x9,spotify:track:2prqm9sPLj10B4Wg0wE5x9,https://api.spotify.com/v1/tracks/2prqm9sPLj10B4Wg0wE5x9,https://api.spotify.com/v1/audio-analysis/2prqm9sPLj10B4Wg0wE5x9,343120.0,4.0
19,As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,"3,301,814,535","407,119","169,783,402",87.0,"800,899,315","9,101,589","2,755,903","1,633,970,617","15,405,881,843","7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,"132,624,772","79,909",,"14,967,379",,0,4Dvkj6JhhA12EX05fT7y2e,,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303.0,4.0
20,Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,"1,065,399,331","170,890","121,712,197",78.0,"240,970,670","2,749,668","3,091,732","652,428,798","7,095,564,106","1,063,591,802",158.0,"400,899",273,143.0,"13,718,632",146.0,"70,291,476","49,111",,"7,559,816",,1,2IGMVunIBsBLtEQyoI1Mu7,,2IGMVunIBsBLtEQyoI1Mu7,0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750.0,4.0
21,Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,"547,882,871","24,425","262,343,414",95.0,"107,550,212","1,825,761","209,200","169,144,295","1,379,499,000","422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,"10,362,898","10,848","1,551,157","1,373,085",,1,2qSkIjg1o9h3YT9RAgYN75,,2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,0.0,-5.478,1.0,0.0285,0.107,6.54e-05,0.185,0.69,103.969,audio_features,2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459.0,4.0
22,Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,"1,655,575,417",10,655,,,,,,,,,,,,,,,,,,,1,7B37eXepS3J9F86nFaVTtQ,,7B37eXepS3J9F86nFaVTtQ,0.739,0.937,0.0,-4.271,1.0,0.128,0.0768,0.0,0.191,0.91,130.025,audio_features,7B37eXepS3J9F86nFaVTtQ,spotify:track:7B37eXepS3J9F86nFaVTtQ,https://api.spotify.com/v1/tracks/7B37eXepS3J9F86nFaVTtQ,https://api.spotify.com/v1/audio-analysis/7B37eXepS3J9F86nFaVTtQ,198000.0,4.0
23,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,"426,700,979","34,044","152,928,632",86.0,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175","1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",,1,7wLShogStyDeZvL0a6daN5,,7wLShogStyDeZvL0a6daN5,0.727,0.711,2.0,-6.549,1.0,0.078,0.582,0.0,0.158,0.375,110.012,audio_features,7wLShogStyDeZvL0a6daN5,spotify:track:7wLShogStyDeZvL0a6daN5,https://api.spotify.com/v1/tracks/7wLShogStyDeZvL0a6daN5,https://api.spotify.com/v1/audio-analysis/7wLShogStyDeZvL0a6daN5,233457.0,4.0
24,Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,,1,2,,,,"9,453,333","273,236,305","4,306,269,694",,,,,,,,,,,,,0,7wuyeVnpHutyFX7YqoEwt1,,7wuyeVnpHutyFX7YqoEwt1,0.187,0.00417,9.0,-37.644,1.0,0.049,0.993,0.842,0.104,0.0456,138.675,audio_features,7wuyeVnpHutyFX7YqoEwt1,spotify:track:7wuyeVnpHutyFX7YqoEwt1,https://api.spotify.com/v1/tracks/7wuyeVnpHutyFX7YqoEwt1,https://api.spotify.com/v1/audio-analysis/7wuyeVnpHutyFX7YqoEwt1,194844.0,4.0
25,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,"7,382,759","3,504","661,084",35.0,"4,233,958","69,990","37,621,885","1,636,811,753","22,918,660,728",,1.0,,439,1.0,6,1.0,,,,"633,525",,0,78TvkItRPxnA5S7Ok2f7Ug,,78TvkItRPxnA5S7Ok2f7Ug,0.681,0.611,1.0,-7.607,1.0,0.0325,0.00105,0.572,0.167,0.532,129.968,audio_features,78TvkItRPxnA5S7Ok2f7Ug,spotify:track:78TvkItRPxnA5S7Ok2f7Ug,https://api.spotify.com/v1/tracks/78TvkItRPxnA5S7Ok2f7Ug,https://api.spotify.com/v1/audio-analysis/78TvkItRPxnA5S7Ok2f7Ug,67168.0,4.0
26,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78.0,"1,256,973,582","14,661,425","7,485,966","2,246,991,336","23,712,377,029","4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,"196,783,487","124,922","36,341,585",,,1,567e29TDzLwZwfDuEpGTwo,,567e29TDzLwZwfDuEpGTwo,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,567e29TDzLwZwfDuEpGTwo,spotify:track:567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,141806.0,4.0
27,Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,"720,822,868","60,945","7,530,769",71.0,"16,322,756,555","48,757,673","7,743,800","281,762,094","6,577,639,193","2,166,611",33.0,284,142,19.0,"52,179",17.0,"86,458,847","2,234,137",,"2,064,420",,0,5ygDXis42ncn6kYG14lEVG,,5ygDXis42ncn6kYG14lEVG,0.829,0.886,8.0,-1.746,1.0,0.112,0.259,0.0,0.0559,0.777,115.056,audio_features,5ygDXis42ncn6kYG14lEVG,spotify:track:5ygDXis42ncn6kYG14lEVG,https://api.spotify.com/v1/tracks/5ygDXis42ncn6kYG14lEVG,https://api.spotify.com/v1/audio-analysis/5ygDXis42ncn6kYG14lEVG,80927.0,4.0
28,we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,"591,068,364","26,203","197,494,995",87.0,"156,882,014","3,080,503",,,,"578,568,464",194.0,"200,230",32,117.0,"22,062,193",126.0,"10,106,573","7,689","1,612,479","1,579,980",,0,51ZQ1vr10ffzbwIjDCwqm4,,51ZQ1vr10ffzbwIjDCwqm4,0.645,0.646,5.0,-8.334,1.0,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639.0,4.0
29,Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256.0,"1,003,215,671",128,"485,454",,,,,,,,,,,,,,"179,867,721","87,209",,"4,474,248",,1,5sNESr6pQfIhL3krM8CtZn,,5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2.0,-4.254,1.0,0.166,0.0603,0.0,0.582,0.751,107.045,audio_features,5sNESr6pQfIhL3krM8CtZn,spotify:track:5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/tracks/5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/audio-analysis/5sNESr6pQfIhL3krM8CtZn,205733.0,4.0
30,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,"1,645,079,292",,,,,,,,,,,,,,,,,,,,,1,76n1sIMW6s9S2dCEPAl4GM,,76n1sIMW6s9S2dCEPAl4GM,0.739,0.937,0.0,-4.271,1.0,0.128,0.0768,0.0,0.191,0.91,130.025,audio_features,76n1sIMW6s9S2dCEPAl4GM,spotify:track:76n1sIMW6s9S2dCEPAl4GM,https://api.spotify.com/v1/tracks/76n1sIMW6s9S2dCEPAl4GM,https://api.spotify.com/v1/audio-analysis/76n1sIMW6s9S2dCEPAl4GM,198000.0,4.0
31,SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,"124,893,397","3,479","25,936,342",82.0,"359,896,095","4,907,193","212,500","48,327,004","390,081,328","38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,"130,743",592,"265,670","191,867",,0,1njlnn8ZKHI77Pe9szIONR,,1njlnn8ZKHI77Pe9szIONR,0.774,0.728,2.0,-5.079,1.0,0.169,0.113,0.0,0.0473,0.461,140.041,audio_features,1njlnn8ZKHI77Pe9szIONR,spotify:track:1njlnn8ZKHI77Pe9szIONR,https://api.spotify.com/v1/tracks/1njlnn8ZKHI77Pe9szIONR,https://api.spotify.com/v1/audio-analysis/1njlnn8ZKHI77Pe9szIONR,170357.0,4.0
32,Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,"670,376,179","98,450","150,471,020",83.0,"265,180,930","2,566,846","2,114,363","369,150,956","3,932,956,380","3,031,114,430",225.0,"486,952","1,215",180.0,"19,469,488",188.0,"40,418,532","27,555","6,049,784","6,447,136",,0,5aIVCx5tnk0ntmdiinnYvw,,5aIVCx5tnk0ntmdiinnYvw,0.673,0.722,3.0,-3.495,0.0,0.0755,0.0856,0.0,0.137,0.519,117.187,audio_features,5aIVCx5tnk0ntmdiinnYvw,spotify:track:5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,200256.0,4.0
33,Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,"750,154,960","139,141","103,879,363",79.0,"118,208,096","1,495,758","1,031,447","196,985,853","2,231,749,390","1,745,168,821",163.0,"378,114",856,113.0,"16,295,286",112.0,"20,228,317","5,331","10,938,075","7,477,917",,0,5mjYQaktjmjcMKcUIcqz4s,,5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,11.0,-8.307,0.0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965.0,4.0
34,Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,"532,012,790","23,557","67,488,850",,"62,123,098","923,733",,,,"384,716,227",221.0,"151,990",64,42.0,"658,517",47.0,"31,032,977","23,005","1,516,649",,,0,76JKIsdKrAfWUMjaA0u7v5,,76JKIsdKrAfWUMjaA0u7v5,0.741,0.62,10.0,-5.505,1.0,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,76JKIsdKrAfWUMjaA0u7v5,spotify:track:76JKIsdKrAfWUMjaA0u7v5,https://api.spotify.com/v1/tracks/76JKIsdKrAfWUMjaA0u7v5,https://api.spotify.com/v1/audio-analysis/76JKIsdKrAfWUMjaA0u7v5,251424.0,4.0
35,What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230.0,"479,417,905",7,"1,519",,,,,,,,,,,,,1.0,"121,250,721","83,632",,"3,692,067",,0,79pge4Rth6LEDG2Dvnud3f,,79pge4Rth6LEDG2Dvnud3f,0.842,0.56,1.0,-6.704,1.0,0.055,0.138,1.97e-05,0.0561,0.768,97.803,audio_features,79pge4Rth6LEDG2Dvnud3f,spotify:track:79pge4Rth6LEDG2Dvnud3f,https://api.spotify.com/v1/tracks/79pge4Rth6LEDG2Dvnud3f,https://api.spotify.com/v1/audio-analysis/79pge4Rth6LEDG2Dvnud3f,232193.0,4.0
